  .. retry 1/2 after HTTPSConnectionPool(host='www.reg.rw', port=443): Read timed out. (read timeout=30) (sleep 2s)
site reports 126 pages
page   1/126  rows= 4  total=4
page   2/126  rows= 4  total=8
page   3/126  rows= 4  total=12
page   4/126  rows= 4  total=16
page   5/126  rows= 4  total=20
page   6/126  rows= 4  total=24
page   7/126  rows= 4  total=28
page   8/126  rows= 4  total=32
page   9/126  rows= 4  total=36
page  10/126  rows= 4  total=40
page  11/126  rows= 4  total=44
page  12/126  rows= 4  total=48
page  13/126  rows= 4  total=52
page  14/126  rows= 4  total=56
page  15/126  rows= 4  total=60
page  16/126  rows= 4  total=64
page  17/126  rows= 4  total=68
page  18/126  rows= 4  total=72
page  19/126  rows= 4  total=76
page  20/126  rows= 4  total=80
page  21/126  rows= 4  total=84
page  22/126  rows= 4  total=88
page  23/126  rows= 4  total=92
page  24/126  rows= 4  total=96
page  25/126  rows= 4  total=100
page  26/126  rows= 4  total=104
page  27/126  rows= 4  total=108
page  28/126  rows= 4  total=112
page  29/126  rows= 4  total=116
page  30/126  rows= 4  total=120
page  31/126  rows= 4  total=124
page  32/126  rows= 4  total=128
page  33/126  rows= 4  total=132
page  34/126  rows= 4  total=136
page  35/126  rows= 4  total=140
page  36/126  rows= 4  total=144
page  37/126  rows= 4  total=148
page  38/126  rows= 4  total=152
page  39/126  rows= 4  total=156
page  40/126  rows= 4  total=160
page  41/126  rows= 4  total=164
page  42/126  rows= 4  total=168
page  43/126  rows= 4  total=172
page  44/126  rows= 4  total=176
page  45/126  rows= 4  total=180
page  46/126  rows= 4  total=184
page  47/126  rows= 4  total=188
page  48/126  rows= 4  total=192
page  49/126  rows= 4  total=196
page  50/126  rows= 4  total=200
page  51/126  rows= 4  total=204
page  52/126  rows= 4  total=208
page  53/126  rows= 4  total=212
page  54/126  rows= 4  total=216
page  55/126  rows= 4  total=220
page  56/126  rows= 4  total=224
page  57/126  rows= 4  total=228
page  58/126  rows= 4  total=232
page  59/126  rows= 4  total=236
page  60/126  rows= 4  total=240
page  61/126  rows= 4  total=244
page  62/126  rows= 4  total=248
page  63/126  rows= 4  total=252
page  64/126  rows= 4  total=256
page  65/126  rows= 4  total=260
page  66/126  rows= 4  total=264
page  67/126  rows= 4  total=268
page  68/126  rows= 4  total=272
page  69/126  rows= 4  total=276
page  70/126  rows= 4  total=280
page  71/126  rows= 4  total=284
page  72/126  rows= 4  total=288
page  73/126  rows= 4  total=292
page  74/126  rows= 4  total=296
page  75/126  rows= 4  total=300
page  76/126  rows= 4  total=304
page  77/126  rows= 4  total=308
page  78/126  rows= 4  total=312
page  79/126  rows= 4  total=316
page  80/126  rows= 4  total=320
page  81/126  rows= 4  total=324
page  82/126  rows= 4  total=328
page  83/126  rows= 4  total=332
page  84/126  rows= 4  total=336
page  85/126  rows= 4  total=340
page  86/126  rows= 4  total=344
page  87/126  rows= 4  total=348
page  88/126  rows= 4  total=352
page  89/126  rows= 4  total=356
page  90/126  rows= 4  total=360
page  91/126  rows= 4  total=364
page  92/126  rows= 4  total=368
page  93/126  rows= 4  total=372
page  94/126  rows= 4  total=376
page  95/126  rows= 4  total=380
page  96/126  rows= 4  total=384
page  97/126  rows= 4  total=388
page  98/126  rows= 4  total=392
page  99/126  rows= 4  total=396
page 100/126  rows= 4  total=400
page 101/126  rows= 4  total=404
page 102/126  rows= 4  total=408
page 103/126  rows= 4  total=412
page 104/126  rows= 4  total=416
page 105/126  rows= 4  total=420
page 106/126  rows= 4  total=424
page 107/126  rows= 4  total=428
page 108/126  rows= 4  total=432
page 109/126  rows= 4  total=436
page 110/126  rows= 4  total=440
page 111/126  rows= 4  total=444
page 112/126  rows= 4  total=448
page 113/126  rows= 4  total=452
page 114/126  rows= 4  total=456
page 115/126  rows= 4  total=460
page 116/126  rows= 4  total=464
page 117/126  rows= 4  total=468
page 118/126  rows= 4  total=472
page 119/126  rows= 4  total=476
page 120/126  rows= 4  total=480
page 121/126  rows= 4  total=484
page 122/126  rows= 4  total=488
page 123/126  rows= 4  total=492
page 124/126  rows= 4  total=496
page 125/126  rows= 4  total=500
page 126/126  rows= 2  total=502
no link to page 127 -- end of listing

wrote 502 records from 126 pages -> /Users/Adriel/personal-workspace/hackathon/data/outages_raw.json
